tamanho,iteracao,tempo,memoria_pico_kb
10,1,0.000125,0.91
10,2,0.000056,0.91
10,3,0.000052,0.91
10,4,0.000042,0.91
10,5,0.000056,0.91
10,6,0.000051,0.91
10,7,0.000062,0.91
10,8,0.000047,0.91
10,9,0.000040,0.91
10,10,0.000041,0.91
10,11,0.000039,0.91
10,12,0.000040,0.91
10,13,0.000038,0.91
10,14,0.000039,0.91
10,15,0.000059,0.91
10,16,0.000041,0.91
10,17,0.000038,0.91
10,18,0.000040,0.91
10,19,0.000038,0.91
10,20,0.000038,0.91
10,21,0.000051,0.91
10,22,0.000038,0.91
10,23,0.000036,0.91
10,24,0.000038,0.91
10,25,0.000038,0.91
10,26,0.000038,0.91
10,27,0.000038,0.91
10,28,0.000038,0.91
10,29,0.000037,0.91
10,30,0.000038,0.91
100,1,0.000437,1.43
100,2,0.000447,1.43
100,3,0.000421,1.43
100,4,0.000427,1.43
100,5,0.000416,1.43
100,6,0.000428,1.43
100,7,0.000412,1.43
100,8,0.000414,1.43
100,9,0.000430,1.43
100,10,0.000611,1.43
100,11,0.000667,1.43
100,12,0.000693,1.43
100,13,0.000689,1.43
100,14,0.000485,1.43
100,15,0.000439,1.43
100,16,0.000413,1.43
100,17,0.000436,1.43
100,18,0.000411,1.43
100,19,0.000412,1.43
100,20,0.000425,1.43
100,21,0.000431,1.43
100,22,0.000431,1.43
100,23,0.000415,1.43
100,24,0.000425,1.43
100,25,0.000413,1.43
100,26,0.000429,1.43
100,27,0.000410,1.43
100,28,0.000456,1.43
100,29,0.000533,1.43
100,30,0.000482,1.43
1000,1,0.001091,14.29
1000,2,0.001037,14.29
1000,3,0.001055,14.29
1000,4,0.001101,14.29
1000,5,0.001062,14.29
1000,6,0.001069,14.29
1000,7,0.001082,14.29
1000,8,0.001170,14.29
1000,9,0.001101,14.29
1000,10,0.001074,14.29
1000,11,0.001209,14.29
1000,12,0.001113,14.29
1000,13,0.001057,14.29
1000,14,0.001304,14.29
1000,15,0.001155,14.29
1000,16,0.001086,14.29
1000,17,0.001236,14.29
1000,18,0.001116,14.29
1000,19,0.001060,14.29
1000,20,0.001107,14.29
1000,21,0.001124,14.29
1000,22,0.001134,14.29
1000,23,0.001066,14.29
1000,24,0.001039,14.29
1000,25,0.001030,14.29
1000,26,0.001066,14.29
1000,27,0.001075,14.29
1000,28,0.001032,14.29
1000,29,0.001085,14.29
1000,30,0.001133,14.29
1000000,1,3.623458,8593.80
1000000,2,2.221163,8593.77
1000000,3,2.254805,8593.77
1000000,4,2.302042,8593.77
1000000,5,2.278890,8593.77
1000000,6,2.209866,8593.77
1000000,7,2.217648,8593.77
1000000,8,2.229200,8593.77
1000000,9,2.228058,8593.77
1000000,10,2.195083,8593.77
1000000,11,2.183327,8593.77
1000000,12,2.202955,8593.77
1000000,13,2.225744,8593.77
1000000,14,2.216521,8593.77
1000000,15,2.204296,8593.77
1000000,16,2.430102,8593.77
1000000,17,2.313639,8593.77
1000000,18,2.268447,8593.77
1000000,19,2.252180,8593.77
1000000,20,2.258652,8593.77
1000000,21,2.263757,8593.77
1000000,22,2.239243,8593.77
1000000,23,2.225482,8593.77
1000000,24,2.267882,8593.77
1000000,25,2.212097,8593.77
1000000,26,2.238515,8593.77
1000000,27,2.160277,8593.77
1000000,28,2.164153,8593.77
1000000,29,2.271566,8593.77
1000000,30,2.175660,8593.77
